species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ
Mm Hs	CD109	Platelets	FLJ38569|DKFZp762L1111|CPAMD7	0.007	CD109 molecule	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	CSF3R	Platelets	GCSFR|CD114	0.008	colony stimulating factor 3 receptor	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	CCR3	Platelets	CC-CKR-3|CKR3|CD193|CMKBR3	0.001	C-C motif chemokine receptor 3	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	CD226	Platelets	DNAM-1|DNAM1|PTA1|TLiSA1	0.0	CD226 molecule	protein-coding gene	1	Mesoderm	Blood
Mm Hs	TNFSF14	Platelets	LIGHT|LTg|HVEM-L|CD258	0.001	TNF superfamily member 14	protein-coding gene	NA	Mesoderm	Blood
None	FCER1	Platelets	NA	0.0	NA	NA	NA	Mesoderm	Blood
Mm Hs	LRRC32	Platelets	D11S833E	0.008	leucine rich repeat containing 32	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	LTBR	Platelets	TNFCR|TNFR-RP|TNFR2-RP|TNF-R-III|TNFRSF3|D12S370	0.02	lymphotoxin beta receptor	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	PF4	Platelets	SCYB4|CXCL4	0.023	platelet factor 4	protein-coding gene	1	Mesoderm	Blood
Mm	GH	Platelets	NA	0.006	growth hormone	protein coding gene	NA	Mesoderm	Blood
Mm Hs	GP5	Platelets	CD42d	0.001	glycoprotein V platelet	protein-coding gene	1	Mesoderm	Blood
Mm Hs	F13A1	Platelets	F13A	0.016	coagulation factor XIII A chain	protein-coding gene	1	Mesoderm	Blood
Mm Hs	THBS1	Platelets	TSP1|THBS|TSP|THBS-1|TSP-1	0.031	thrombospondin 1	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	ABCC4	Platelets	MRP4|EST170205|MOAT-B|MOATB	0.003	ATP binding cassette subfamily C member 4	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	BIN2	Platelets	BRAP-1	0.048	bridging integrator 2	protein-coding gene	1	Mesoderm	Blood
Mm Hs	FERMT3	Platelets	URP2|KIND3|MIG2B|MGC10966|MIG-2|UNC112C	0.038	fermitin family member 3	protein-coding gene	NA	Mesoderm	Blood
Hs	PFN1P1	Platelets	NA	0.05	profilin 1 pseudogene 1	pseudogene	NA	Mesoderm	Blood
Mm Hs	RUFY1	Platelets	FLJ22251|ZFYVE12|RABIP4	0.003	RUN and FYVE domain containing 1	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	LY6G6F	Platelets	G6f|NG32|LY6G6D|C6orf21	0.001	lymphocyte antigen 6 family member G6F	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	PTCRA	Platelets	PTA|PT-ALPHA	0.004	pre T cell antigen receptor alpha	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	TUBB1	Platelets	dJ543J19.4	0.0	tubulin beta 1 class VI	protein-coding gene	1	Mesoderm	Blood
Mm Hs	MPP1	Platelets	PEMP|DXS552E	0.036	membrane palmitoylated protein 1	protein-coding gene	NA	Mesoderm	Blood
Hs	FTLP3	Platelets	dJ681N20.2|FTLL1	0.03	ferritin light chain pseudogene 3	pseudogene	NA	Mesoderm	Blood
Hs	FYB1	Platelets	SLAP-130|FYB-120/130|ADAP|FYB	0.019	FYN binding protein 1	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	GP9	Platelets	CD42a|GPIX	0.001	glycoprotein IX platelet	protein-coding gene	1	Mesoderm	Blood
Mm Hs	MMD	Platelets	MMA|PAQR11	0.036	monocyte to macrophage differentiation associated	protein-coding gene	NA	Mesoderm	Blood
Hs	HBB	Platelets	CD113t-C|beta-globin	0.04	hemoglobin subunit beta	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	NRGN	Platelets	NA	0.034	neurogranin	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	NCOA4	Platelets	ARA70|RFG|ELE1|PTC3|DKFZp762E1112	0.02	nuclear receptor coactivator 4	protein-coding gene	NA	Mesoderm	Blood
Hs	HBA2	Platelets	HBA-T2	0.039	hemoglobin subunit alpha 2	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	ACRBP	Platelets	SP32|OY-TES-1|CT23	0.014	acrosin binding protein	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	HIST1H2AC	Platelets	H2AFL	0.009	histone cluster 1 H2A family member c	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	RGS18	Platelets	RGS13	0.017	regulator of G protein signaling 18	protein-coding gene	1	Mesoderm	Blood
Hs	CAVIN2	Platelets	SDR|PS-p68|cavin-2|SDPR	0.006	caveolae associated protein 2	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	PPBP	Platelets	SCYB7|TGB|NAP-2-L1|LA-PF4|MDGF|LDGF|Beta-TG|CTAP3|CXCL7|b-TG1|TGB1|CTAPIII|NAP-2|THBGB1	0.001	pro-platelet basic protein	protein-coding gene	1	Mesoderm	Blood
Mm Hs	DAB2	Platelets	DOC-2	0.06	DAB2, clathrin adaptor protein	protein-coding gene	1	Mesoderm	Blood
Mm	CD209F	Platelets	NA	0.004	CD209f antigen	protein coding gene	NA	Mesoderm	Blood
Mm Hs	HFE	Platelets	HLA-H	0.013	homeostatic iron regulator	protein-coding gene	1	Mesoderm	Blood
Mm Hs	CXCR4	Platelets	LESTR|NPY3R|HM89|NPYY3R|D2S201E|fusin|HSY3RR|CD184	0.043	C-X-C motif chemokine receptor 4	protein-coding gene	1	Mesoderm	Blood
Mm Hs	CLEC1B	Platelets	CLEC2	0.003	C-type lectin domain family 1 member B	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	MPL	Platelets	CD110|TPOR	0.001	MPL proto-oncogene, thrombopoietin receptor	protein-coding gene	1	Mesoderm	Blood
Mm Hs	F5	Platelets	NA	0.002	coagulation factor V	protein-coding gene	1	Mesoderm	Blood
Mm Hs	TREML1	Platelets	TLT1|dJ238O23.3	0.0	triggering receptor expressed on myeloid cells like 1	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	P2RY12	Platelets	P2Y12|SP1999|HORK3	0.024	purinergic receptor P2Y12	protein-coding gene	1	Mesoderm	Blood
Mm Hs	PRKAR2B	Platelets	NA	0.028	protein kinase cAMP-dependent type II regulatory subunit beta	protein-coding gene	1	Mesoderm	Blood
Mm Hs	STX11	Platelets	NA	0.008	syntaxin 11	protein-coding gene	1	Mesoderm	Blood
Mm Hs	MFSD2B	Platelets	NA	0.003	major facilitator superfamily domain containing 2B	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	SH3BGRL2	Platelets	NA	0.005	SH3 domain binding glutamate rich protein like 2	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	ALOX12	Platelets	12S-LOX	0.001	arachidonate 12-lipoxygenase, 12S type	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	PLEK	Platelets	NA	0.045	pleckstrin	protein-coding gene	NA	Mesoderm	Blood
Mm Hs	PRMT8	Pluripotent stem cells	HRMT1L4	0.006	protein arginine methyltransferase 8	protein-coding gene	1	NA	NA
Mm Hs	NCOA5	Pluripotent stem cells	bA465L10.6	0.003	nuclear receptor coactivator 5	protein-coding gene	1	NA	NA
Mm Hs	TRIM32	Pluripotent stem cells	HT2A|TATIP|BBS11|LGMD2H	0.039	tripartite motif containing 32	protein-coding gene	1	NA	NA
Mm Hs	PRDM14	Pluripotent stem cells	NA	0.0	PR/SET domain 14	protein-coding gene	1	NA	NA
Mm Hs	FGF4	Pluripotent stem cells	K-FGF|HBGF-4|HST|HST-1|KFGF	0.001	fibroblast growth factor 4	protein-coding gene	NA	NA	NA
Mm Hs	NANOG	Pluripotent stem cells	FLJ12581|FLJ40451	0.002	Nanog homeobox	protein-coding gene	1	NA	NA
Mm Hs	POU5F1	Pluripotent stem cells	Oct4|MGC22487|OTF3	0.002	POU class 5 homeobox 1	protein-coding gene	1	NA	NA
Mm Hs	MSH2	Pluripotent stem cells	HNPCC1|COCA1	0.018	mutS homolog 2	protein-coding gene	NA	NA	NA
Mm	ZFP819	Pluripotent stem cells	NA	0.0	zinc finger protein 819	protein coding gene	1	NA	NA
Mm Hs	GATA2	Pluripotent stem cells	NFE1B	0.019	GATA binding protein 2	protein-coding gene	NA	NA	NA
Mm Hs	ZFX	Pluripotent stem cells	ZNF926	0.006	zinc finger protein X-linked	protein-coding gene	1	NA	NA
Mm Hs	TERF1	Pluripotent stem cells	PIN2|TRF1|TRBF1	0.029	telomeric repeat binding factor 1	protein-coding gene	1	NA	NA
Mm Hs	PODXL	Podocytes	PCLP|Gp200|PC	0.037	podocalyxin like	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ADAMTS13	Podocytes	VWFCP|vWF-CP|FLJ42993|MGC118899|MGC118900|DKFZp434C2322|C9orf8	0.0	ADAM metallopeptidase with thrombospondin type 1 motif 13	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	LCN2	Podocytes	NGAL|24p3	0.036	lipocalin 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	VEGFA	Podocytes	VEGF-A|VPF|VEGF	0.018	vascular endothelial growth factor A	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC2A4	Podocytes	GLUT4	0.001	solute carrier family 2 member 4	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	NLRP3	Podocytes	AGTAVPRL|AII|AVP|FCAS|FCU|NALP3|PYPAF1|MWS|CLR1.1|C1orf7|CIAS1	0.004	NLR family pyrin domain containing 3	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SYNPO	Podocytes	KIAA1029	0.008	synaptopodin	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	NPHS1	Podocytes	CNF|NPHN	0.002	NPHS1, nephrin	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	NPHS2	Podocytes	SRN1|PDCN	0.002	NPHS2, podocin	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	LAMA3	Podocytes	nicein-150kDa|kalinin-165kDa|BM600-150kDa|epiligrin|LAMNA	0.004	laminin subunit alpha 3	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	FOXC2	Podocytes	MFH-1|FKHL14	0.002	forkhead box C2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	WT1	Podocytes	WIT-2|AWT1|NPHS4|GUD	0.008	Wilms tumor 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	CD80	Podocytes	B7.1|B7-1|CD28LG|CD28LG1	0.0	CD80 molecule	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	DES	Podocytes	CMD1I|CSM1|CSM2	0.019	desmin	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	PTPRO	Podocytes	PTPU2|GLEPP1|PTP-U2|PTP-oc|NPHS6	0.011	protein tyrosine phosphatase, receptor type O	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	LMX1B	Podocytes	NPS1	0.001	LIM homeobox transcription factor 1 beta	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	MYOC	Podocytes	TIGR|JOAG1|GLC1A	0.003	myocilin	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	CDH13	Podocytes	CDHH	0.029	cadherin 13	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SEMA3G	Podocytes	FLJ00014|sem2	0.002	semaphorin 3G	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	THSD7A	Podocytes	KIAA0960	0.016	thrombospondin type 1 domain containing 7A	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	MAFB	Podocytes	KRML	0.043	MAF bZIP transcription factor B	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ENPEP	Podocytes	gp160|CD249	0.007	glutamyl aminopeptidase	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	CLIC5	Podocytes	DFNB102	0.012	chloride intracellular channel 5	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	RAB3B	Podocytes	NA	0.025	RAB3B, member RAS oncogene family	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	DPP4	Podocytes	CD26|ADCP2	0.015	dipeptidyl peptidase 4	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ANGPTL2	Podocytes	NA	0.013	angiopoietin like 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ITGB5	Podocytes	NA	0.044	integrin subunit beta 5	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	RHPN1	Podocytes	KIAA1929|RHPN|ODF5	0.002	rhophilin Rho GTPase binding protein 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	BCAM	Podocytes	CD239|LU	0.041	basal cell adhesion molecule (Lutheran blood group)	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	MAGI2	Podocytes	ACVRIP1|MAGI-2	0.004	membrane associated guanylate kinase, WW and PDZ domain containing 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	COL4A3	Podocytes	NA	0.006	collagen type IV alpha 3 chain	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	EFNB1	Podocytes	LERK2|Elk-L|EPLG2|CFNS	0.027	ephrin B1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	NPR1	Podocytes	GUCY2A|ANPa|ANPRA|NPRA	0.007	natriuretic peptide receptor 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	PLOD2	Podocytes	LH2	0.015	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SRGAP1	Podocytes	KIAA1304|ARHGAP13	0.025	SLIT-ROBO Rho GTPase activating protein 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	LAMB2	Podocytes	NPHS5|LAMS	0.019	laminin subunit beta 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	NPR3	Podocytes	FLJ14054|NPRC|ANPRC|C5orf23	0.004	natriuretic peptide receptor 3	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ITGA3	Podocytes	CD49c|VLA3a|VCA-2|GAP-B3|MSK18	0.01	integrin subunit alpha 3	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	PLCE1	Podocytes	KIAA1516|NPHS3	0.005	phospholipase C epsilon 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	PROS1	Podocytes	PROS	0.02	protein S	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	MERTK	Podocytes	mer|RP38|c-Eyk|Tyro12	0.013	MER proto-oncogene, tyrosine kinase	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	MYO1D	Podocytes	KIAA0727|myr4|PPP1R108	0.008	myosin ID	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	TCF21	Podocytes	POD1|bHLHa23	0.012	transcription factor 21	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	TNS2	Podocytes	KIAA1075|C1-TEN|TENC1	0.007	tensin 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ADM	Podocytes	AM	0.024	adrenomedullin	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	OPTN	Podocytes	FIP2|HYPL|FIP-2|TFIIIA-INTP|HIP7|GLC1E	0.026	optineurin	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	PARD3B	Podocytes	Par3L|PAR3beta|ALS2CR19	0.002	par-3 family cell polarity regulator beta	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SEMA3E	Podocytes	M-SemaK|KIAA0331|coll-5|SEMAH	0.005	semaphorin 3E	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	MYO1E	Podocytes	MYO1C|HuncM-IC|MGC104638	0.014	myosin IE	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	NEBL	Podocytes	LASP2|LNEBL	0.026	nebulette	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SH2D4A	Podocytes	FLJ20967|SH2A|PPP1R38	0.005	SH2 domain containing 4A	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	TDRD5	Podocytes	FLJ34823|TUDOR3	0.002	tudor domain containing 5	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	PTH1R	Podocytes	PTHR1	0.015	parathyroid hormone 1 receptor	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	IQGAP2	Podocytes	NA	0.031	IQ motif containing GTPase activating protein 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	CTGF	Podocytes	IGFBP8|CCN2	0.026	connective tissue growth factor	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	FAT1	Podocytes	CDHF7|CDHR8	0.025	FAT atypical cadherin 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ILDR2	Podocytes	C1orf32	0.021	immunoglobulin like domain containing receptor 2	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	FOXD1	Podocytes	FREAC4|FKHL8	0.002	forkhead box D1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	TRIB2	Podocytes	GS3955	0.032	tribbles pseudokinase 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	LOXL2	Podocytes	WS9-14|LOR	0.02	lysyl oxidase like 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	COL4A5	Podocytes	ASLN|ATS	0.009	collagen type IV alpha 5 chain	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	FOXC1	Podocytes	FREAC3|IGDA|IHG1|FKHL7|IRID1	0.014	forkhead box C1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	PLEKHH2	Podocytes	KIAA2028|PLEKHH1L	0.003	pleckstrin homology, MyTH4 and FERM domain containing H2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	CTNNAL1	Podocytes	CLLP|alpha-CATU	0.028	catenin alpha like 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	DACH1	Podocytes	DACH	0.015	dachshund family transcription factor 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SULF1	Podocytes	KIAA1077|SULF-1|hSulf-1	0.014	sulfatase 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	HSPB8	Podocytes	H11|E2IG1|HSP22|HspB8|CMT2L	0.026	heat shock protein family B (small) member 8	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	KANK1	Podocytes	KANK|ANKRD15	0.027	KN motif and ankyrin repeat domains 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ADCY1	Podocytes	AC1|DFNB44	0.02	adenylate cyclase 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	DOCK5	Podocytes	FLJ21034	0.007	dedicator of cytokinesis 5	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	CRB2	Podocytes	FLJ38464|FLJ16786	0.001	crumbs 2, cell polarity complex component	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	LRRC49	Podocytes	FLJ20156	0.014	leucine rich repeat containing 49	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	CORO2B	Podocytes	ClipinC|KIAA0925	0.022	coronin 2B	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ARHGAP24	Podocytes	DKFZP564B1162|FLJ33877|FilGAP	0.005	Rho GTPase activating protein 24	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	GPRC5A	Podocytes	RAIG1|PEIG-1|RAI3	0.013	G protein-coupled receptor class C group 5 member A	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	COL4A4	Podocytes	CA44	0.007	collagen type IV alpha 4 chain	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	AIF1L	Podocytes	IBA2|FLJ12783|C9orf58	0.008	allograft inflammatory factor 1 like	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	MET	Podocytes	HGFR|RCCP2|DFNB97	0.006	MET proto-oncogene, receptor tyrosine kinase	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	EPB41L5	Podocytes	KIAA1548|FLJ12957|BE37|YMO1|YRT	0.01	erythrocyte membrane protein band 4.1 like 5	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	DOCK1	Podocytes	DOCK180|ced5	0.01	dedicator of cytokinesis 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	AJUBA	Podocytes	MGC15563|JUB	0.007	ajuba LIM protein	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	AQP2	Principal cells	NA	0.001	aquaporin 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SCNN1A	Principal cells	ENaCalpha|SCNN1	0.007	sodium channel epithelial 1 alpha subunit	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	AQP3	Principal cells	GIL	0.018	aquaporin 3 (Gill blood group)	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	KCNJ1	Principal cells	Kir1.1|ROMK1	0.003	potassium voltage-gated channel subfamily J member 1	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	AVPR2	Principal cells	V2R|DIR3|DIR	0.0	arginine vasopressin receptor 2	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	SCNN1G	Principal cells	ENaCgamma|SCNEG	0.002	sodium channel epithelial 1 gamma subunit	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	HSD11B2	Principal cells	SDR9C3	0.002	hydroxysteroid 11-beta dehydrogenase 2	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	FXYD4	Principal cells	CHIF	0.002	FXYD domain containing ion transport regulator 4	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	APELA	Principal cells	Ende|ELA|tdl	0.005	apelin receptor early endogenous ligand	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	NPNT	Principal cells	EGFL6L|POEM	0.017	nephronectin	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	SCNN1B	Principal cells	ENaCbeta	0.003	sodium channel epithelial 1 beta subunit	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	KCNE1	Principal cells	minK|ISK|JLNS2|LQT5	0.001	potassium voltage-gated channel subfamily E regulatory subunit 1	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	CDH16	Principal cells	NA	0.005	cadherin 16	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	ADGRG1	Principal cells	TM7LN4|TM7XN1|GPR56	0.045	adhesion G protein-coupled receptor G1	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	TSPAN8	Principal cells	CO-029|TM4SF3	0.034	tetraspanin 8	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	CDO1	Principal cells	NA	0.037	cysteine dioxygenase type 1	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	TMEM45B	Principal cells	BC016153|FLJ40787	0.019	transmembrane protein 45B	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	TACSTD2	Principal cells	TROP2|GA733-1|EGP-1|M1S1	0.027	tumor associated calcium signal transducer 2	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	PDZK1IP1	Principal cells	DD96|MAP17|SPAP	0.026	PDZK1 interacting protein 1	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	L1CAM	Principal cells	CD171|HSAS1|SPG1|HSAS|MIC5	0.021	L1 cell adhesion molecule	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	CLDN4	Principal cells	CPE-R|WBSCR8|hCPE-R|CPETR|CPETR1	0.031	claudin 4	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	TBCK	Principal cells	MGC16169|HSPC302	0.006	TBC1 domain containing kinase	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	TMEM229A	Principal cells	NA	0.019	transmembrane protein 229A	protein-coding gene	NA	Mesoderm	Kidney
Mm	GSTT1	Principal cells	NA	0.017	glutathione S-transferase theta 1	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	GPRC5B	Principal cells	RAIG-2	0.021	G protein-coupled receptor class C group 5 member B	protein-coding gene	NA	Mesoderm	Kidney
Mm	TMEM178	Principal cells	NA	0.009	transmembrane protein 178	protein coding gene	NA	Mesoderm	Kidney
Mm Hs	PHACTR1	Principal cells	KIAA1733|dJ257A7.2|RPEL1	0.044	phosphatase and actin regulator 1	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	CELSR2	Principal cells	KIAA0279|MEGF3|Flamingo1|CDHF10|ADGRC2|EGFL2	0.023	cadherin EGF LAG seven-pass G-type receptor 2	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	FZD7	Principal cells	FzE3	0.001	frizzled class receptor 7	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	SLC2A9	Principal cells	Glut9|GLUTX|URATv1	0.0	solute carrier family 2 member 9	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	RNF186	Principal cells	FLJ20225	0.014	ring finger protein 186	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	TRPV5	Principal cells	CaT2|ECAC1	0.0	transient receptor potential cation channel subfamily V member 5	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	STC1	Principal cells	STC	0.004	stanniocalcin 1	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	PELI2	Principal cells	NA	0.004	pellino E3 ubiquitin protein ligase family member 2	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	KLK1	Principal cells	Klk6	0.013	kallikrein 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	AQP1	Proximal tubule cells	CHIP28|CO	0.032	aquaporin 1 (Colton blood group)	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	CLDN2	Proximal tubule cells	NA	0.008	claudin 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	DPP4	Proximal tubule cells	CD26|ADCP2	0.015	dipeptidyl peptidase 4	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ENPEP	Proximal tubule cells	gp160|CD249	0.007	glutamyl aminopeptidase	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC36A2	Proximal tubule cells	PAT2|tramdorin|TRAMD1	0.002	solute carrier family 36 member 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC5A1	Proximal tubule cells	D22S675|NAGT|SGLT1	0.008	solute carrier family 5 member 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC6A18	Proximal tubule cells	FLJ31236|Xtrp2	0.001	solute carrier family 6 member 18	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC6A19	Proximal tubule cells	NA	0.003	solute carrier family 6 member 19	protein-coding gene	1	Mesoderm	Kidney
Mm	SLC6A20B	Proximal tubule cells	NA	0.0	solute carrier family 6 (neurotransmitter transporter), member 20B	protein coding gene	1	Mesoderm	Kidney
Mm Hs	SLC5A2	Proximal tubule cells	SGLT2	0.001	solute carrier family 5 member 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	LRP2	Proximal tubule cells	gp330	0.007	LDL receptor related protein 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	PDZK1	Proximal tubule cells	PDZD1|NHERF3	0.002	PDZ domain containing 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	MIOX	Proximal tubule cells	ALDRL6	0.006	myo-inositol oxygenase	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC34A1	Proximal tubule cells	NAPI-3|NPTIIa|SLC11|NPT2|SLC17A2	0.006	solute carrier family 34 member 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	TTC36	Proximal tubule cells	HBP21	0.003	tetratricopeptide repeat domain 36	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ASS1	Proximal tubule cells	CTLN1|ASS	0.042	argininosuccinate synthase 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	PCK1	Proximal tubule cells	PEPCK-C	0.007	phosphoenolpyruvate carboxykinase 1	protein-coding gene	1	Mesoderm	Kidney
